Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO)
2009317S10073,2010,01, SI, MM,ANJA,2009-11-13 06:00:00, TS, -9.50,  72.50,  0.0, 1006.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-13 12:00:00, TS,-10.20,  71.90,  0.0, 1004.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-13 18:00:00, TS,-11.10,  71.40, 25.0, 1002.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-14 00:00:00, TS,-11.90,  71.10, 28.0,  999.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-14 06:00:00, TS,-12.50,  70.90, 33.0,  996.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-14 12:00:00, TS,-12.80,  70.70, 40.0,  992.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-14 18:00:00, TS,-12.90,  70.60, 50.0,  985.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-15 00:00:00, TS,-12.90,  70.50, 60.0,  975.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-15 06:00:00, TS,-13.00,  70.20, 80.0,  960.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-15 12:00:00, TS,-13.10,  69.90, 90.0,  950.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-15 18:00:00, TS,-13.20,  69.40, 85.0,  955.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-16 00:00:00, TS,-13.50,  69.10, 85.0,  955.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-16 06:00:00, TS,-14.10,  68.90, 85.0,  955.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-16 12:00:00, TS,-14.80,  68.30, 90.0,  950.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-16 18:00:00, TS,-15.60,  67.70, 85.0,  955.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-17 00:00:00, TS,-16.40,  67.30, 85.0,  955.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-17 06:00:00, TS,-17.30,  66.90, 80.0,  960.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-17 12:00:00, TS,-18.40,  66.60, 65.0,  972.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-17 18:00:00, TS,-19.70,  66.80, 55.0,  980.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-18 00:00:00, TS,-20.90,  66.30, 45.0,  989.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-18 06:00:00, TS,-21.70,  66.40, 30.0,  999.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-18 12:00:00, TS,-22.80,  67.10, 25.0, 1003.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-18 18:00:00, TS,-24.20,  68.40,  0.0, 1004.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-19 00:00:00, TS,-25.90,  70.30,  0.0, 1005.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-19 06:00:00, NR,-28.10,  72.90,  0.0, 1006.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-19 12:00:00, NR,-29.60,  75.20,  0.0, 1007.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-19 18:00:00, TS,-30.80,  76.90,  0.0, 1009.0
2009317S10073,2010,01, SI, MM,ANJA,2009-11-20 00:00:00, TS,-31.90,  78.50,  0.0, 1010.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-20 12:00:00, TS,-11.60,  66.10, 15.0, 1011.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-20 18:00:00, TS,-11.30,  64.90, 15.0, 1011.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-21 00:00:00, TS,-11.10,  63.70, 20.0, 1010.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-21 06:00:00, TS,-10.90,  62.90, 20.0, 1010.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-21 12:00:00, TS,-10.50,  61.50, 23.0, 1009.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-21 18:00:00, TS,-10.10,  59.80, 23.0, 1009.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-22 00:00:00, TS, -9.80,  57.90, 25.0, 1007.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-22 06:00:00, TS, -9.30,  56.40, 25.0, 1007.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-22 12:00:00, TS, -8.80,  55.70, 25.0, 1006.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-22 18:00:00, TS, -8.40,  54.90, 30.0, 1002.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-23 00:00:00, TS, -8.30,  54.30, 35.0,  999.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-23 06:00:00, TS, -8.40,  53.90, 40.0,  996.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-23 12:00:00, TS, -9.00,  53.50, 37.0,  998.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-23 18:00:00, TS, -9.60,  53.10, 35.0,  999.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-24 00:00:00, TS,-10.30,  52.50, 30.0, 1002.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-24 06:00:00, TS,-10.50,  52.10, 25.0, 1004.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-24 12:00:00, TS,-10.90,  52.10, 25.0, 1004.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-24 18:00:00, TS,-11.00,  51.70, 25.0, 1005.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-25 00:00:00, TS,-10.90,  51.00, 25.0, 1006.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-25 06:00:00, TS,-11.00,  50.40, 23.0, 1008.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-25 12:00:00, TS,-11.10,  49.90, 23.0, 1009.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-25 18:00:00, TS,-11.10,  49.50, 23.0, 1009.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-26 00:00:00, TS,-11.20,  48.90, 20.0, 1010.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-26 06:00:00, TS,-11.30,  48.10, 20.0, 1010.0
2009325S12066,2010,02, SI, MM,BONGANI,2009-11-26 12:00:00, TS,-11.40,  47.20, 15.0, 1011.0
2009337S07096,2010,03, SI, WA,CLEO,2009-12-03 00:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, WA,CLEO,2009-12-03 06:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, WA,CLEO,2009-12-03 12:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, WA,CLEO,2009-12-03 18:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, WA,CLEO,2009-12-04 00:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, WA,CLEO,2009-12-04 06:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, WA,CLEO,2009-12-04 12:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, WA,CLEO,2009-12-04 18:00:00, TS,-999.,-999.,-999.,-999.
2009337S07096,2010,03, SI, MM,CLEO,2009-12-05 00:00:00, TS, -8.80,  89.70, 20.0, 1005.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-05 06:00:00, TS, -9.10,  88.40, 20.0, 1005.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-05 12:00:00, TS, -8.90,  86.80, 20.0, 1005.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-05 18:00:00, TS, -8.70,  86.00, 20.0, 1005.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-06 00:00:00, TS, -8.50,  85.20, 20.0, 1004.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-06 06:00:00, TS, -8.50,  84.30, 23.0, 1003.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-06 12:00:00, TS, -8.50,  83.70, 25.0, 1002.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-06 18:00:00, TS, -8.50,  83.00, 25.0, 1001.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-07 00:00:00, TS, -8.60,  81.80, 28.0,  999.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-07 06:00:00, TS, -8.90,  80.50, 35.0,  996.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-07 12:00:00, TS, -9.20,  79.40, 45.0,  989.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-07 18:00:00, TS, -9.70,  78.40, 55.0,  980.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-08 00:00:00, TS,-10.40,  77.30, 65.0,  972.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-08 06:00:00, TS,-10.70,  76.40, 90.0,  945.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-08 12:00:00, TS,-11.00,  75.60,105.0,  930.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-08 18:00:00, TS,-11.30,  74.80,100.0,  935.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-09 00:00:00, TS,-11.60,  74.10, 82.0,  955.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-09 06:00:00, TS,-11.70,  73.30, 70.0,  968.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-09 12:00:00, TS,-11.90,  72.20, 60.0,  977.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-09 18:00:00, TS,-12.50,  71.50, 55.0,  980.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-10 00:00:00, TS,-12.90,  71.00, 55.0,  980.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-10 06:00:00, TS,-13.30,  70.50, 50.0,  985.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-10 12:00:00, TS,-13.80,  69.90, 43.0,  990.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-10 18:00:00, TS,-14.20,  69.10, 35.0,  995.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-11 00:00:00, TS,-14.00,  68.40, 30.0,  997.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-11 06:00:00, TS,-13.80,  67.60, 25.0, 1000.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-11 12:00:00, TS,-14.00,  66.90, 25.0, 1001.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-11 18:00:00, TS,-14.20,  66.00, 23.0, 1002.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-12 00:00:00, TS,-14.30,  65.00, 23.0, 1002.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-12 06:00:00, TS,-14.40,  64.30, 22.0, 1003.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-12 12:00:00, TS,-14.50,  63.60, 22.0, 1003.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-12 18:00:00, TS,-14.60,  63.00, 22.0, 1003.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-13 00:00:00, TS,-14.70,  62.50, 22.0, 1003.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-13 06:00:00, TS,-15.20,  62.10, 20.0, 1004.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-13 12:00:00, TS,-15.80,  61.90, 20.0, 1004.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-13 18:00:00, TS,-16.40,  61.50, 20.0, 1005.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-14 00:00:00, TS,-17.10,  61.00, 20.0, 1005.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-14 06:00:00, TS,-17.90,  60.50, 20.0, 1005.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-14 12:00:00, TS,-18.60,  60.10, 20.0, 1006.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-14 18:00:00, TS,-18.90,  60.00, 15.0, 1007.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-15 00:00:00, TS,-19.00,  59.90, 15.0, 1007.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-15 06:00:00, TS,-19.10,  60.00, 15.0, 1008.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-15 12:00:00, TS,-20.10,  60.20, 15.0, 1008.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-15 18:00:00, TS,-20.80,  60.30, 15.0, 1009.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-16 00:00:00, TS,-21.20,  59.90, 15.0, 1009.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-16 06:00:00, TS,-21.30,  59.30, 15.0, 1010.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-16 12:00:00, TS,-21.40,  58.60, 15.0, 1010.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-16 18:00:00, TS,-21.40,  57.90,  0.0, 1011.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-17 00:00:00, TS,-21.80,  57.30,  0.0, 1011.0
2009337S07096,2010,03, SI, MM,CLEO,2009-12-17 06:00:00, TS,-22.30,  56.60,  0.0, 1012.0
2009342S09140,2010,01, SP, EA,LAURENCE,2009-12-08 00:00:00, NR, -8.90, 139.50, -1.0,   -1.0
2009342S09140,2010,01, SP, EA,LAURENCE,2009-12-08 06:00:00, NR, -9.20, 138.20, -1.0,   -1.0
2009342S09140,2010,01, SP, EA,LAURENCE,2009-12-08 12:00:00, NR, -9.50, 138.00, -1.0,   -1.0
2009342S09140,2010,01, SP, EA,LAURENCE,2009-12-08 18:00:00, NR, -9.65, 137.65, -1.0,   -1.0
2009342S09140,2010,01, SP, EA,LAURENCE,2009-12-09 00:00:00, NR, -9.80, 137.20, -1.0,   -1.0
2009342S09140,2010,01, SP, EA,LAURENCE,2009-12-09 06:00:00, NR, -9.90, 136.60, 20.0, 1005.0
